p,e1,e2
0.67407,-0.81517,-0.82327
0.67548,-0.81442,-0.82249
0.67688,-0.81367,-0.82170
0.67828,-0.81292,-0.82091
0.67968,-0.81217,-0.82011
0.68108,-0.81142,-0.81932
0.68248,-0.81066,-0.81852
0.68388,-0.80991,-0.81772
0.68529,-0.80915,-0.81692
0.68669,-0.80839,-0.81612
0.68809,-0.80763,-0.81532
0.68949,-0.80687,-0.81452
0.69089,-0.80611,-0.81371
0.69229,-0.80535,-0.81290
0.69369,-0.80458,-0.81209
0.69510,-0.80382,-0.81128
0.69650,-0.80305,-0.81047
0.69790,-0.80228,-0.80966
0.69930,-0.80151,-0.80884
0.70070,-0.80074,-0.80802
0.70210,-0.79997,-0.80720
0.70350,-0.79919,-0.80638
0.70490,-0.79842,-0.80556
0.70631,-0.79764,-0.80474
0.70771,-0.79686,-0.80391
0.70911,-0.79608,-0.80308
0.71051,-0.79530,-0.80225
0.71191,-0.79452,-0.80142
0.71331,-0.79374,-0.80059
0.71471,-0.79296,-0.79976
0.71612,-0.79217,-0.79892
0.71752,-0.79138,-0.79808
0.71892,-0.79060,-0.79725
0.72032,-0.78981,-0.79641
0.72172,-0.78902,-0.79556
0.72312,-0.78822,-0.79472
0.72452,-0.78743,-0.79387
0.72593,-0.78664,-0.79303
0.72733,-0.78584,-0.79218
0.72873,-0.78504,-0.79133
0.73013,-0.78424,-0.79048
0.73153,-0.78344,-0.78962
0.73293,-0.78264,-0.78877
0.73433,-0.78184,-0.78791
0.73574,-0.78104,-0.78705
0.73714,-0.78023,-0.78619
0.73854,-0.77943,-0.78533
0.73994,-0.77862,-0.78447
0.74134,-0.77781,-0.78360
0.74274,-0.77700,-0.78274
0.74414,-0.77619,-0.78187
0.74555,-0.77538,-0.78100
0.74695,-0.77457,-0.78013
0.74835,-0.77375,-0.77925
0.74975,-0.77294,-0.77838
0.75115,-0.77212,-0.77750
0.75255,-0.77130,-0.77662
0.75395,-0.77048,-0.77575
0.75536,-0.76966,-0.77486
0.75676,-0.76884,-0.77398
0.75816,-0.76802,-0.77310
0.75956,-0.76719,-0.77221
0.76096,-0.76637,-0.77132
0.76236,-0.76554,-0.77043
0.76376,-0.76471,-0.76954
0.76517,-0.76388,-0.76865
0.76657,-0.76305,-0.76775
0.76797,-0.76222,-0.76686
0.76937,-0.76139,-0.76596
0.77077,-0.76056,-0.76506
0.77217,-0.75972,-0.76416
0.77357,-0.75888,-0.76326
0.77497,-0.75805,-0.76235
0.77638,-0.75721,-0.76145
0.77778,-0.75637,-0.76054
0.77918,-0.75553,-0.75963
0.78058,-0.75468,-0.75872
0.78198,-0.75384,-0.75781
0.78338,-0.75300,-0.75689
0.78478,-0.75215,-0.75598
0.78619,-0.75130,-0.75506
0.78759,-0.75046,-0.75414
0.78899,-0.74961,-0.75322
0.79039,-0.74876,-0.75230
0.79179,-0.74791,-0.75138
0.79319,-0.74705,-0.75045
0.79459,-0.74620,-0.74952
0.79600,-0.74534,-0.74859
0.79740,-0.74449,-0.74766
0.79880,-0.74363,-0.74673
0.80020,-0.74277,-0.74580
0.80160,-0.74191,-0.74486
0.80300,-0.74105,-0.74393
0.80440,-0.74019,-0.74299
0.80581,-0.73933,-0.74205
0.80721,-0.73846,-0.74110
0.80861,-0.73760,-0.74016
0.81001,-0.73673,-0.73922
0.81141,-0.73587,-0.73827
0.81281,-0.73500,-0.73732
0.81421,-0.73413,-0.73637
0.81562,-0.73326,-0.73542
0.81702,-0.73238,-0.73447
0.81842,-0.73151,-0.73351
0.81982,-0.73064,-0.73255
0.82122,-0.72976,-0.73160
0.82262,-0.72889,-0.73064
0.82402,-0.72801,-0.72967
0.82543,-0.72713,-0.72871
0.82683,-0.72625,-0.72775
0.82823,-0.72537,-0.72678
0.82963,-0.72449,-0.72581
0.83103,-0.72361,-0.72484
0.83243,-0.72272,-0.72387
0.83383,-0.72184,-0.72290
0.83524,-0.72095,-0.72192
0.83664,-0.72007,-0.72095
0.83804,-0.71918,-0.71997
0.83944,-0.71829,-0.71899
0.84084,-0.71740,-0.71801
0.84224,-0.71651,-0.71703
0.84364,-0.71562,-0.71604
0.84505,-0.71473,-0.71506
0.84645,-0.71383,-0.71407
0.84785,-0.71294,-0.71308
0.84925,-0.71204,-0.71209
0.85065,-0.71114,-0.71110
0.85205,-0.71025,-0.71010
0.85345,-0.70935,-0.70910
0.85485,-0.70845,-0.70811
0.85626,-0.70755,-0.70711
0.85766,-0.70664,-0.70611
0.85906,-0.70574,-0.70511
0.86046,-0.70484,-0.70410
0.86186,-0.70393,-0.70310
0.86326,-0.70303,-0.70209
0.86466,-0.70212,-0.70108
0.86607,-0.70121,-0.70007
0.86747,-0.70030,-0.69906
0.86887,-0.69939,-0.69804
0.87027,-0.69848,-0.69703
0.87167,-0.69757,-0.69601
0.87307,-0.69666,-0.69499
0.87447,-0.69574,-0.69397
0.87588,-0.69483,-0.69295
0.87728,-0.69391,-0.69192
0.87868,-0.69300,-0.69090
0.88008,-0.69208,-0.68987
0.88148,-0.69116,-0.68884
0.88288,-0.69024,-0.68781
0.88428,-0.68932,-0.68678
0.88569,-0.68840,-0.68575
0.88709,-0.68748,-0.68471
0.88849,-0.68656,-0.68368
0.88989,-0.68563,-0.68264
0.89129,-0.68471,-0.68160
0.89269,-0.68378,-0.68056
0.89409,-0.68286,-0.67951
0.89550,-0.68193,-0.67847
0.89690,-0.68100,-0.67742
0.89830,-0.68007,-0.67637
0.89970,-0.67914,-0.67532
