p,e1,e2
0.79319,-2.87031,-2.95609
0.79459,-2.86998,-2.95554
0.79600,-2.86964,-2.95498
0.79740,-2.86931,-2.95442
0.79880,-2.86897,-2.95386
0.80020,-2.86864,-2.95330
0.80160,-2.86830,-2.95274
0.80300,-2.86797,-2.95218
0.80440,-2.86764,-2.95161
0.80581,-2.86731,-2.95105
0.80721,-2.86697,-2.95048
0.80861,-2.86664,-2.94992
0.81001,-2.86631,-2.94935
0.81141,-2.86598,-2.94878
0.81281,-2.86565,-2.94821
0.81421,-2.86533,-2.94764
0.81562,-2.86500,-2.94707
0.81702,-2.86467,-2.94650
0.81842,-2.86435,-2.94593
0.81982,-2.86402,-2.94535
0.82122,-2.86369,-2.94478
0.82262,-2.86337,-2.94420
0.82402,-2.86305,-2.94363
0.82543,-2.86272,-2.94305
0.82683,-2.86240,-2.94247
0.82823,-2.86208,-2.94189
0.82963,-2.86176,-2.94131
0.83103,-2.86144,-2.94073
0.83243,-2.86112,-2.94014
0.83383,-2.86080,-2.93956
0.83524,-2.86048,-2.93898
0.83664,-2.86016,-2.93839
0.83804,-2.85985,-2.93780
0.83944,-2.85953,-2.93722
0.84084,-2.85922,-2.93663
0.84224,-2.85890,-2.93604
0.84364,-2.85859,-2.93545
0.84505,-2.85828,-2.93485
0.84645,-2.85797,-2.93426
0.84785,-2.85766,-2.93367
0.84925,-2.85735,-2.93307
0.85065,-2.85704,-2.93248
0.85205,-2.85673,-2.93188
0.85345,-2.85642,-2.93128
0.85485,-2.85612,-2.93069
0.85626,-2.85581,-2.93009
0.85766,-2.85551,-2.92949
0.85906,-2.85520,-2.92888
0.86046,-2.85490,-2.92828
0.86186,-2.85460,-2.92768
0.86326,-2.85430,-2.92707
0.86466,-2.85400,-2.92647
0.86607,-2.85370,-2.92586
0.86747,-2.85341,-2.92526
0.86887,-2.85311,-2.92465
0.87027,-2.85281,-2.92404
0.87167,-2.85252,-2.92343
0.87307,-2.85223,-2.92282
0.87447,-2.85194,-2.92220
0.87588,-2.85165,-2.92159
0.87728,-2.85136,-2.92098
0.87868,-2.85107,-2.92036
0.88008,-2.85078,-2.91974
0.88148,-2.85049,-2.91913
0.88288,-2.85021,-2.91851
0.88428,-2.84993,-2.91789
0.88569,-2.84964,-2.91727
0.88709,-2.84936,-2.91665
0.88849,-2.84908,-2.91603
0.88989,-2.84880,-2.91540
0.89129,-2.84852,-2.91478
0.89269,-2.84825,-2.91416
0.89409,-2.84797,-2.91353
0.89550,-2.84770,-2.91290
0.89690,-2.84743,-2.91227
0.89830,-2.84716,-2.91165
0.89970,-2.84689,-2.91102
0.90110,-2.84662,-2.91038
0.90250,-2.84635,-2.90975
0.90390,-2.84609,-2.90912
0.90531,-2.84582,-2.90849
0.90671,-2.84556,-2.90785
0.90811,-2.84530,-2.90722
0.90951,-2.84504,-2.90658
0.91091,-2.84478,-2.90594
0.91231,-2.84452,-2.90530
0.91371,-2.84427,-2.90466
0.91512,-2.84401,-2.90402
0.91652,-2.84376,-2.90338
0.91792,-2.84351,-2.90274
0.91932,-2.84326,-2.90209
0.92072,-2.84301,-2.90145
0.92212,-2.84277,-2.90080
0.92352,-2.84252,-2.90016
0.92492,-2.84228,-2.89951
0.92633,-2.84204,-2.89886
0.92773,-2.84180,-2.89821
0.92913,-2.84156,-2.89756
0.93053,-2.84132,-2.89691
0.93193,-2.84109,-2.89626
0.93333,-2.84086,-2.89560
0.93473,-2.84063,-2.89495
0.93614,-2.84040,-2.89429
0.93754,-2.84017,-2.89364
0.93894,-2.83994,-2.89298
0.94034,-2.83972,-2.89232
0.94174,-2.83950,-2.89166
0.94314,-2.83928,-2.89100
0.94454,-2.83906,-2.89034
0.94595,-2.83884,-2.88968
0.94735,-2.83863,-2.88901
0.94875,-2.83842,-2.88835
0.95015,-2.83821,-2.88768
0.95155,-2.83800,-2.88702
0.95295,-2.83779,-2.88635
0.95435,-2.83759,-2.88568
0.95576,-2.83738,-2.88501
0.95716,-2.83718,-2.88434
0.95856,-2.83698,-2.88367
0.95996,-2.83679,-2.88300
0.96136,-2.83659,-2.88233
0.96276,-2.83640,-2.88165
0.96416,-2.83621,-2.88098
0.96557,-2.83603,-2.88030
0.96697,-2.83584,-2.87962
0.96837,-2.83566,-2.87895
0.96977,-2.83548,-2.87827
0.97117,-2.83530,-2.87759
0.97257,-2.83512,-2.87691
0.97397,-2.83495,-2.87622
0.97538,-2.83477,-2.87554
0.97678,-2.83461,-2.87486
0.97818,-2.83444,-2.87417
0.97958,-2.83427,-2.87349
0.98098,-2.83411,-2.87280
0.98238,-2.83395,-2.87211
0.98378,-2.83379,-2.87142
0.98519,-2.83364,-2.87073
0.98659,-2.83349,-2.87004
0.98799,-2.83334,-2.86935
0.98939,-2.83319,-2.86866
0.99079,-2.83305,-2.86796
0.99219,-2.83290,-2.86727
0.99359,-2.83276,-2.86657
0.99499,-2.83263,-2.86588
0.99640,-2.83249,-2.86518
0.99780,-2.83236,-2.86448
0.99920,-2.83223,-2.86378
1.00060,-2.83211,-2.86308
1.00200,-2.83199,-2.86238
1.00340,-2.83187,-2.86168
1.00480,-2.83175,-2.86097
1.00621,-2.83163,-2.86027
1.00761,-2.83152,-2.85956
1.00901,-2.83141,-2.85886
1.01041,-2.83131,-2.85815
1.01181,-2.83121,-2.85744
1.01321,-2.83111,-2.85673
1.01461,-2.83101,-2.85602
1.01602,-2.83092,-2.85531
1.01742,-2.83083,-2.85460
1.01882,-2.83074,-2.85388
1.02022,-2.83066,-2.85317
1.02162,-2.83058,-2.85245
1.02302,-2.83050,-2.85174
1.02442,-2.83042,-2.85102
1.02583,-2.83035,-2.85030
1.02723,-2.83029,-2.84958
1.02863,-2.83022,-2.84886
1.03003,-2.83016,-2.84814
1.03143,-2.83010,-2.84742
1.03283,-2.83005,-2.84669
1.03423,-2.83000,-2.84597
1.03564,-2.82995,-2.84524
1.03704,-2.82991,-2.84452
1.03844,-2.82987,-2.84379
1.03984,-2.82983,-2.84306
1.04124,-2.82980,-2.84233
1.04264,-2.82977,-2.84160
1.04404,-2.82975,-2.84087
1.04545,-2.82973,-2.84014
