alphas,e1,e2
2.44444,-2.44444,-2.51972
2.45045,-2.45045,-2.52610
2.45646,-2.45646,-2.53247
2.46246,-2.46246,-2.53885
2.46847,-2.46847,-2.54523
2.47447,-2.47447,-2.55161
2.48048,-2.48048,-2.55799
2.48649,-2.48649,-2.56437
2.49249,-2.49249,-2.57076
2.49850,-2.49850,-2.57714
2.50450,-2.50450,-2.58352
2.51051,-2.51051,-2.58991
2.51652,-2.51652,-2.59630
2.52252,-2.52252,-2.60268
2.52853,-2.52853,-2.60907
2.53453,-2.53453,-2.61546
2.54054,-2.54054,-2.62185
2.54655,-2.54655,-2.62824
2.55255,-2.55255,-2.63463
2.55856,-2.55856,-2.64103
2.56456,-2.56456,-2.64742
2.57057,-2.57057,-2.65381
2.57658,-2.57658,-2.66021
2.58258,-2.58258,-2.66661
2.58859,-2.58859,-2.67300
2.59459,-2.59459,-2.67940
2.60060,-2.60060,-2.68580
2.60661,-2.60661,-2.69220
2.61261,-2.61261,-2.69860
2.61862,-2.61862,-2.70500
2.62462,-2.62462,-2.71141
2.63063,-2.63063,-2.71781
2.63664,-2.63664,-2.72421
2.64264,-2.64264,-2.73062
2.64865,-2.64865,-2.73703
2.65465,-2.65465,-2.74343
2.66066,-2.66066,-2.74984
2.66667,-2.66667,-2.75625
2.67267,-2.67267,-2.76266
2.67868,-2.67868,-2.76907
2.68468,-2.68468,-2.77548
2.69069,-2.69069,-2.78190
2.69670,-2.69670,-2.78831
2.70270,-2.70270,-2.79472
2.70871,-2.70871,-2.80114
2.71471,-2.71471,-2.80756
2.72072,-2.72072,-2.81397
2.72673,-2.72673,-2.82039
2.73273,-2.73273,-2.82681
2.73874,-2.73874,-2.83323
2.74474,-2.74474,-2.83965
2.75075,-2.75075,-2.84607
2.75676,-2.75676,-2.85250
2.76276,-2.76276,-2.85892
2.76877,-2.76877,-2.86534
2.77477,-2.77477,-2.87177
2.78078,-2.78078,-2.87820
2.78679,-2.78679,-2.88462
2.79279,-2.79279,-2.89105
2.79880,-2.79880,-2.89748
2.80480,-2.80480,-2.90391
2.81081,-2.81081,-2.91034
2.81682,-2.81682,-2.91677
2.82282,-2.82282,-2.92321
2.82883,-2.82883,-2.92964
2.83483,-2.83483,-2.93607
2.84084,-2.84084,-2.94251
2.84685,-2.84685,-2.94895
2.85285,-2.85285,-2.95538
2.85886,-2.85886,-2.96182
2.86486,-2.86486,-2.96826
2.87087,-2.87087,-2.97470
2.87688,-2.87688,-2.98114
2.88288,-2.88288,-2.98758
2.88889,-2.88889,-2.99403
2.89489,-2.89489,-3.00047
2.90090,-2.90090,-3.00691
2.90691,-2.90691,-3.01336
2.91291,-2.91291,-3.01981
2.91892,-2.91892,-3.02625
2.92492,-2.92492,-3.03270
2.93093,-2.93093,-3.03915
2.93694,-2.93694,-3.04560
2.94294,-2.94294,-3.05205
2.94895,-2.94895,-3.05850
2.95495,-2.95495,-3.06496
2.96096,-2.96096,-3.07141
2.96697,-2.96697,-3.07786
2.97297,-2.97297,-3.08432
2.97898,-2.97898,-3.09078
2.98498,-2.98498,-3.09723
2.99099,-2.99099,-3.10369
2.99700,-2.99700,-3.11015
3.00300,-3.00300,-3.11661
3.00901,-3.00901,-3.12307
3.01502,-3.01502,-3.12953
3.02102,-3.02102,-3.13600
3.02703,-3.02703,-3.14246
3.03303,-3.03303,-3.14892
3.03904,-3.03904,-3.15539
3.04505,-3.04505,-3.16186
3.05105,-3.05105,-3.16832
3.05706,-3.05706,-3.17479
3.06306,-3.06306,-3.18126
3.06907,-3.06907,-3.18773
3.07508,-3.07508,-3.19420
3.08108,-3.08108,-3.20067
3.08709,-3.08709,-3.20715
3.09309,-3.09309,-3.21362
3.09910,-3.09910,-3.22009
3.10511,-3.10511,-3.22657
3.11111,-3.11111,-3.23305
3.11712,-3.11712,-3.23952
3.12312,-3.12312,-3.24600
3.12913,-3.12913,-3.25248
3.13514,-3.13514,-3.25896
3.14114,-3.14114,-3.26544
3.14715,-3.14715,-3.27192
3.15315,-3.15315,-3.27841
3.15916,-3.15916,-3.28489
3.16517,-3.16517,-3.29137
3.17117,-3.17117,-3.29786
3.17718,-3.17718,-3.30435
3.18318,-3.18318,-3.31083
3.18919,-3.18919,-3.31732
3.19520,-3.19520,-3.32381
3.20120,-3.20120,-3.33030
3.20721,-3.20721,-3.33679
3.21321,-3.21321,-3.34328
3.21922,-3.21922,-3.34977
3.22523,-3.22523,-3.35627
3.23123,-3.23123,-3.36276
3.23724,-3.23724,-3.36926
3.24324,-3.24324,-3.37575
3.24925,-3.24925,-3.38225
3.25526,-3.25526,-3.38875
3.26126,-3.26126,-3.39525
3.26727,-3.26727,-3.40175
3.27327,-3.27327,-3.40825
3.27928,-3.27928,-3.41475
3.28529,-3.28529,-3.42125
3.29129,-3.29129,-3.42776
3.29730,-3.29730,-3.43426
3.30330,-3.30330,-3.44077
3.30931,-3.30931,-3.44727
3.31532,-3.31532,-3.45378
3.32132,-3.32132,-3.46029
3.32733,-3.32733,-3.46680
3.33333,-3.33333,-3.47331
3.33934,-3.33934,-3.47982
3.34535,-3.34535,-3.48633
3.35135,-3.35135,-3.49284
3.35736,-3.35736,-3.49936
3.36336,-3.36336,-3.50587
3.36937,-3.36937,-3.51239
3.37538,-3.37538,-3.51890
3.38138,-3.38138,-3.52542
3.38739,-3.38739,-3.53194
3.39339,-3.39339,-3.53846
3.39940,-3.39940,-3.54498
3.40541,-3.40541,-3.55150
3.41141,-3.41141,-3.55802
3.41742,-3.41742,-3.56454
3.42342,-3.42342,-3.57107
3.42943,-3.42943,-3.57759
3.43544,-3.43544,-3.58412
3.44144,-3.44144,-3.59064
3.44745,-3.44745,-3.59717
3.45345,-3.45345,-3.60370
3.45946,-3.45946,-3.61023
3.46547,-3.46547,-3.61676
3.47147,-3.47147,-3.62329
3.47748,-3.47748,-3.62982
3.48348,-3.48348,-3.63635
3.48949,-3.48949,-3.64289
3.49550,-3.49550,-3.64942
3.50150,-3.50150,-3.65596
3.50751,-3.50751,-3.66249
3.51351,-3.51351,-3.66903
3.51952,-3.51952,-3.67557
3.52553,-3.52553,-3.68211
3.53153,-3.53153,-3.68865
3.53754,-3.53754,-3.69519
3.54354,-3.54354,-3.70173
3.54955,-3.54955,-3.70827
3.55556,-3.55556,-3.71482
3.56156,-3.56156,-3.72136
3.56757,-3.56757,-3.72791
3.57357,-3.57357,-3.73445
3.57958,-3.57958,-3.74100
3.58559,-3.58559,-3.74755
3.59159,-3.59159,-3.75410
3.59760,-3.59760,-3.76065
3.60360,-3.60360,-3.76720
3.60961,-3.60961,-3.77375
3.61562,-3.61562,-3.78030
3.62162,-3.62162,-3.78686
3.62763,-3.62763,-3.79341
3.63363,-3.63363,-3.79997
3.63964,-3.63964,-3.80652
3.64565,-3.64565,-3.81308
3.65165,-3.65165,-3.81964
3.65766,-3.65766,-3.82620
3.66366,-3.66366,-3.83276
3.66967,-3.66967,-3.83932
3.67568,-3.67568,-3.84588
3.68168,-3.68168,-3.85244
3.68769,-3.68769,-3.85901
3.69369,-3.69369,-3.86557
3.69970,-3.69970,-3.87214
3.70571,-3.70571,-3.87870
3.71171,-3.71171,-3.88527
3.71772,-3.71772,-3.89184
3.72372,-3.72372,-3.89841
3.72973,-3.72973,-3.90498
3.73574,-3.73574,-3.91155
3.74174,-3.74174,-3.91812
3.74775,-3.74775,-3.92469
3.75375,-3.75375,-3.93127
3.75976,-3.75976,-3.93784
3.76577,-3.76577,-3.94442
3.77177,-3.77177,-3.95099
3.77778,-3.77778,-3.95757
3.78378,-3.78378,-3.96415
3.78979,-3.78979,-3.97073
3.79580,-3.79580,-3.97731
3.80180,-3.80180,-3.98389
3.80781,-3.80781,-3.99047
3.81381,-3.81381,-3.99705
3.81982,-3.81982,-4.00363
3.82583,-3.82583,-4.01022
3.83183,-3.83183,-4.01680
3.83784,-3.83784,-4.02339
3.84384,-3.84384,-4.02998
3.84985,-3.84985,-4.03657
3.85586,-3.85586,-4.04316
3.86186,-3.86186,-4.04975
3.86787,-3.86787,-4.05634
3.87387,-3.87387,-4.06293
3.87988,-3.87988,-4.06952
3.88589,-3.88589,-4.07611
3.89189,-3.89189,-4.08271
3.89790,-3.89790,-4.08930
3.90390,-3.90390,-4.09590
3.90991,-3.90991,-4.10250
3.91592,-3.91592,-4.10910
3.92192,-3.92192,-4.11569
3.92793,-3.92793,-4.12229
3.93393,-3.93393,-4.12890
3.93994,-3.93994,-4.13550
3.94595,-3.94595,-4.14210
3.95195,-3.95195,-4.14870
3.95796,-3.95796,-4.15531
3.96396,-3.96396,-4.16191
3.96997,-3.96997,-4.16852
3.97598,-3.97598,-4.17513
3.98198,-3.98198,-4.18174
3.98799,-3.98799,-4.18834
3.99399,-3.99399,-4.19495
4.00000,-4.00000,-4.20156
4.00601,-4.00601,-4.20818
4.01201,-4.01201,-4.21479
4.01802,-4.01802,-4.22140
4.02402,-4.02402,-4.22802
4.03003,-4.03003,-4.23463
4.03604,-4.03604,-4.24125
4.04204,-4.04204,-4.24787
4.04805,-4.04805,-4.25448
4.05405,-4.05405,-4.26110
4.06006,-4.06006,-4.26772
4.06607,-4.06607,-4.27434
4.07207,-4.07207,-4.28097
4.07808,-4.07808,-4.28759
4.08408,-4.08408,-4.29421
4.09009,-4.09009,-4.30084
4.09610,-4.09610,-4.30746
4.10210,-4.10210,-4.31409
4.10811,-4.10811,-4.32072
4.11411,-4.11411,-4.32734
4.12012,-4.12012,-4.33397
4.12613,-4.12613,-4.34060
4.13213,-4.13213,-4.34723
4.13814,-4.13814,-4.35387
4.14414,-4.14414,-4.36050
4.15015,-4.15015,-4.36713
4.15616,-4.15616,-4.37377
